02|03|1931 Родился Михаил Сергеевич Горбачев, первый и единственный Президент СССР, последний Генеральный секретарь ЦК КПСС|
02|03|Именины Мина, Федор, Марианна|
03|03|Всемирный день писателя |
03|03|В Японии отмечается Праздник девочек|
03|03|1861 Александр II отменил в России крепостное право|
03|03|Кузьма, Лев, Агапит|
04|03|1789 Вступила в силу Конституция США|
04|03|Именины Архип, Евгений, Макар, Максим|
05|03|1953 Умер Иосиф Виссарионович Сталин|
05|03|1940 Образовано самолетостроительное ОКБ П.О.Сухого|
05|03|Именины Агафон, Лев, Корнилий|
06|03|Именины Егор, Тимофей, Георгий|
07|03|1960 В СССР сформирована первая группа космонавтов|
07|03|Именины Афанасий, Филипп, Вячеслав|
08|03|Международный женский день|
08|03|Именины Александр, Демьян, Иван, Моисей|
09|03|Международный день ди-джея (World DJ Day)|
09|03|1934 Родился Юрий Алексеевич Гагарин, первый космонавт Земли|
09|03|1953 Состоялись похороны И.В.Сталина, в Москве в результате давки погибли сотни людей, пришедших проститься с вождем|
09|03|Именины Иван, Эразм|
10|03|1720 День архивов|
10|03|1922 В Москве открылся Центральный универсальный магазин (ЦУМ)|
10|03|Именины Тарас|
11|03|День работника органов наркоконтроля|
11|03|1892 Министерством путей сообщения был утвержден проект первой московской канализации|
11|03|Именины Порфирий, Севастьян|
12|03|1879 День работников уголовно-исполнительной системы Минюста России|
12|03|Именины Прокопий, Тит|
13|03|Именины Василий, Доминика, Кира, Марина, Нестор|
14|03|Международный день числа «Пи»|
14|03|Международный день борьбы против плотин, за реки, воду и жизнь.|
14|03|Именины Антонина, Евдокия, Нестор|
15|03|Всемирный день защиты прав потребителей|
15|03|1917 Последний российский император Николай II отрекся от престола|
15|03|Именины Арсений, Савва, Федот|
16|03|День создания Республиканской гвардии Казахстана
16|03|День образования подразделений экономической безопасности в системе МВД|
16|03|Именины Василиск|
17|03|Именины Вячеслав, Василий, Герасим, Даниил, Павел|
18|03|День налоговой полиции|
18|03|1965 Летчик-космонавт СССР Алексей Архипович Леонов впервые в истории совершил выход в открытый космос|
18|03|Именины Адриан, Ираида, Константин, Марк, Федор|
19|03|1906 День моряка-подводника|
19|03|Именины Аркадий, Константин|
20|03|Всемирный день астрологии |
20|03|Международный день франкофонии|
20|03|Именины Василий, Евгений, Емельян, Капитон, Павел|
21|03|Международный день борьбы за ликвидацию расовой дискриминации|
21|03|Всемирный день сна|
21|03|Всемирный день поэзии |
21|03|Международный день кукольника|
21|03|Именины Афанасий, Лазарь|
22|03|День Балтийского моря|
21|03|Наурыз мейрамы|
22|03|Наурыз мейрамы|
22|03|День Балтийского моря|
23|03|Наурыз мейрамы|
22|03|Всемирный день водных ресурсов|
22|03|Именины Александр, Валерий, Илья, Ираклий, Тарас|
23|03|1950 Всемирный день метеорологии|
23|03|1891 Впервые была использована сетка на футбольных воротах|
23|03|Именины Анастасия, Виктор, Галина, Денис, Кондрат|
24|03|Всемирный день борьбы с туберкулезом|
24|03|Ефим, Сабина, Софрон|
25|03|День работника культуры|
25|03|Именины Григорий, Семен, Феофан|
26|03|1989 Первые выборы народных депутатов на альтернативной основе в CCCР|
26|03|Именины Александр, Никифор, Терентий, Христина|
27|03|Международный день театра|
27|03|День внутренних войск МВД России|
27|03|1968 При выполнении тренировочного полета погиб Юрий Алексеевич Гагарин|
27|03|Именины Венедикт, Ростислав|
28|03|1776 В Москве основан Большой театр|
28|03|Именины Александр, Денис, Никандр|
29|03|День специалиста юридической службы|
29|03|1730 В Москве появилось первое уличное освещение|
29|03|1886 Создан рецепт кока-колы|
29|03|1823 Заложен первый русский паровой корабль - 14-пушечный «Метеор»|
29|03|Именины Трофим, Александр|
30|03|1613 Костромской крестьянин Иван Сусанин, спасая новоизбранного царя Михаила Романова, погиб от рук польских интервентов|
30|03|1867 Подписан договор о продаже Россией Аляски и Алеутских островов Соединенным Штатам Америки|
30|03|Именины Алексей, Макар|
31|03|Именины Кирилл, Трофим|
01|04|День смеха (День дурака)|
01|04|Международный день птиц|
01|04|1778 Нью-орлеанский бизнесмен Оливер Поллок придумал знак доллара|
01|04|Именины Дарья, Иннокентий, Софья, Харисанф|
02|04|1996 День единения народов Беларуси и России|
02|04|Международный день детской книги|
02|04|Именины Александра, Александра, Виктор, Домна, Клавдия, Никита|
03|04|1922 Учрежден пост Генерального секретаря ЦК РКП(б). Первым генсеком избран И.В.Сталин|
03|04|Именины Кирилл, Фома, Яков, Федор|
04|04|Именины Василий, Исаакий|
05|04|Именины Лидия, Никон, Пахом, Иван|
06|04|1896 В Афинах состоялись первые современные Олимпийские игры|
06|04|День работника следственных органов|
06|04|1722 Петр I отменил налог на бороды|
06|04|Именины Артем, Захар|
07|04|День памяти погибших подводников|
07|04|Именины Тихон, Алла, Анна, Василий, Гавриил, Лариса|
08|04|Международный день цыган|
08|04|1918 День сотрудников военных комиссариатов|
08|04|Именины Иван, Феодосий|
09|04|Именины Матрена, Афанасий|
10|04|1710 В Англии вступил в силу «Статут королевы Анны» - первый в истории  закон об авторском праве.|
10|04|Именины Евстрат, Илларион, Иона, Степан|
11|04|Международный день освобождения узников фашистских концлагерей|
11|04|Именины Остап, Иван, Кирилл, Марк|
12|04|1961 Всемирный день авиации и космонавтики|
12|04|1755 Петр I издал первый Воинский устав сухопутных войск.|
12|04|Именины Зосима, Софрон, Мария|
13|04|1902 В Санкт-Петербурге проведены испытания первого в России троллейбуса|
13|04|Именины Вениамин, Иннокентий, Ипат|
14|04|Именины Ефим, Макар, Мария, Мария|
15|04|День специалиста по радиоэлектронной борьбе|
15|04|1912 Затонул крупнейший английский пассажирский лайнер начала XX века «Титаник»|
15|04|1951 В Лондоне состоялся первый конкурс красоты «Мисс Мира»|
15|03|Именины Поликарп, Тит|
16|04|Именины Никита, Федосья, Афгафья|
17|04|Всемирный день гемофилии|
